episode,steps,reward,score,episode_length,epsilon,learning_rate,loss,max_stage,fuel_pickups,crashes,mean_reward_100,mean_score_100,mean_stage_100,action_entropy
1,821,25.721188675447777,1772.3065511571597,821,0.9845470604546047,0.0001,0,1,0,1,25.721188675447777,1772.3065511571597,1.0,0.9987258100968821
2,1405,-216.22846377606172,1052.0109548698726,584,0.9736950499012895,0.0001,1.3636338373994812,1,0,3,-95.25363755030696,1412.1587530135162,1.0,0.9956698163767758
3,1996,-133.04941799491596,1371.6134156728224,591,0.9628412467553285,0.0001,1.4482678957094395,1,0,3,-107.8522310318433,1398.6436405666182,1.0,0.9969179535657192
4,2737,6.958719670763664,1331.2706397471818,741,0.9494126908555622,0.0001,1.4226402271533944,1,0,1,-79.14949335619156,1381.8003903617591,1.0,0.9986794360577063
5,3247,141.18444869332478,1136.3729883181159,510,0.940285310184511,0.0001,1.1348124277942322,1,1,3,-35.08270494628829,1332.7149099530304,1.0,0.9990070164640125
6,3868,-129.93763017662752,1178.9024443443282,621,0.9292963493383062,0.0001,1.5655629269646754,1,0,2,-50.891859151344825,1307.0794990182467,1.0,0.9961591829424139
7,4489,-156.82670523756735,1077.6965530182563,621,0.9184430273250663,0.0001,1.4210982921138862,1,0,2,-66.02540859223376,1274.310506732534,1.0,0.998859771794913
8,5080,-211.03584282508132,976.4253065443605,591,0.9082384585519893,0.0001,1.3025041601782925,1,0,3,-84.15171287133971,1237.0748567090122,1.0,0.9948740504321181
9,5997,507.13474465462497,2117.2246770449688,917,0.8926418235308001,0.0001,1.4261663376700007,1,2,3,-18.453217590676964,1334.869281190785,1.0,0.9954811510251049
10,7718,1640.864167788025,4658.8682200483445,1721,0.8641315681655701,0.0001,2.227532489953659,2,3,3,147.47852094719323,1667.2691750765412,1.1,0.9978283492673435
11,8359,-62.76809365066254,1180.3777115870782,641,0.8537610187186441,0.0001,3.1423988451079907,1,0,2,128.36519234738816,1623.0063147593173,1.0909090909090908,0.9945338875625322
12,9440,360.8518573102508,2016.7698305045235,1081,0.8365702077721036,0.0001,2.94700334727709,1,1,1,147.73908109429337,1655.8199410714178,1.0833333333333333,0.9955496963381874
13,9884,-144.77907834662196,1117.960101625225,444,0.8296163849951174,0.0001,2.660719550810419,1,0,3,125.23768421422298,1614.4461072678644,1.0769230769230769,0.9919898759526317
14,10525,-95.75980700853505,1547.5930823300498,641,0.8196854959516633,0.0001,2.648295540147564,1,0,2,109.45214912688311,1609.6708912008778,1.0714285714285714,0.9879268110415129
15,11866,624.5854925337064,2934.20459903677,1341,0.7993168948256492,0.0001,2.527710494023486,1,2,2,143.79437202067135,1697.9731383899373,1.0666666666666667,0.9964460489988446
16,12487,-29.987823612570196,1364.008289183648,621,0.7900679339313799,0.0001,2.4503574494194487,1,0,2,132.93298479359373,1677.100335314544,1.0625,0.9867318552833861
17,13025,-222.89336614663935,883.973054089801,538,0.7821474913606473,0.0001,2.315928312814812,1,0,3,112.00202297358003,1630.4457893601475,1.0588235294117647,0.9867284528112105
18,13606,-162.32954643177194,900.5988612843206,581,0.7736891754992292,0.0001,2.4332250158675977,1,0,2,96.76138022883826,1589.8987378003794,1.0555555555555556,0.9922381232057503
19,14247,-172.76445206703673,1031.2941689547183,641,0.764470696972926,0.0001,2.2251811223729354,1,0,2,82.57581010800273,1560.4984973348182,1.0526315789473684,0.9821557580210682
20,14763,-164.28640992248728,1215.8561821473609,516,0.7571352752594264,0.0001,2.3168271695689637,1,0,3,70.23269910647824,1543.2663815754454,1.05,0.9882536095801293
21,15704,170.11560958097897,2159.0612738942227,941,0.7439514384160112,0.0001,2.160687127763229,1,0,0,74.98902817669254,1572.5899478763397,1.0476190476190477,0.9957824825201729
22,16705,139.5038861464246,1740.9164281519468,1001,0.7301966752051442,0.0001,2.0101424087653985,1,0,0,77.92152172077128,1580.2411515252306,1.0454545454545454,0.9941219192361576
23,17346,-106.20068048037821,1044.916067761051,641,0.7215322117084837,0.0001,1.956382609892189,1,0,2,69.91620858159087,1556.96614788331,1.0434782608695652,0.9770352150545566
24,18040,-35.816265539484334,1312.622463242071,694,0.712275733178931,0.0001,1.8893206145732477,1,0,2,65.51068882654606,1546.7851610232583,1.0416666666666667,0.9898777723512143
25,18700,-29.34735952338835,1234.4725269034561,660,0.7035911379295717,0.0001,1.9084586542438378,1,0,2,61.716366892548685,1534.2926556584662,1.04,0.9822363598819751
26,19243,-216.89856128124302,1169.151227410823,543,0.6965315411657823,0.0001,1.8952787367019863,1,0,3,51.00040811663362,1520.2487545720182,1.0384615384615385,0.9885610145293824
27,20264,346.09760277707164,1998.242342699958,1021,0.6834632484580381,0.0001,1.9052577299831197,1,1,2,61.92993384479799,1537.9522207989792,1.037037037037037,0.996148931672976
28,20905,-52.41469508806323,1208.1025529653043,641,0.6753940834755934,0.0001,1.9492296559762285,1,0,2,57.846197097195805,1526.171875519205,1.0357142857142858,0.97621981177495
29,21846,208.74987937951238,2043.4219766248707,941,0.6637342301945439,0.0001,1.8863871553309033,1,0,0,63.04977234831017,1544.008085902159,1.0344827586206897,0.984629853160076
30,22529,-86.0297709740184,1177.316093553004,683,0.655407620827384,0.0001,1.8586455011961227,1,0,2,58.08045423756588,1531.7850194905207,1.0333333333333334,0.9813150958987242
31,23427,622.864991215249,2828.8913502410874,898,0.6446315586560535,0.0001,1.8500087602698723,1,2,3,76.29931026910404,1573.6271591921518,1.032258064516129,0.9926497317312408
32,23872,-171.58221318516317,911.4086969516608,445,0.6393628184559351,0.0001,1.9223085858848656,1,0,3,68.5530126611582,1552.9328322471363,1.03125,0.988132615662332
33,24693,-13.103249951023693,1422.8760529192198,821,0.6297644988353697,0.0001,1.928548908952383,1,0,1,66.07858046078906,1548.991717722048,1.0303030303030303,0.9856833861809252
34,25609,209.16518216440457,1930.0112809210316,916,0.6192399127805572,0.0001,1.9821509374671629,1,1,3,70.2870099226601,1560.1981754631945,1.0294117647058822,0.9949727242843976
35,26145,-145.96620476937107,1253.9101726434676,536,0.6131702524212688,0.0001,1.9875336118153673,1,0,3,64.10834664574493,1551.4470896683451,1.0285714285714285,0.9737609837974937
36,26786,-22.839614706994936,1583.6450700729315,641,0.605996491842334,0.0001,2.046618039727025,1,0,2,61.6931254970577,1552.341478012917,1.0277777777777777,0.9845435731788658
