episode,steps,reward,score,episode_length,epsilon,learning_rate,loss,max_stage,fuel_pickups,crashes,mean_reward_100,mean_score_100,mean_stage_100,action_entropy
1,776,163.4425395342717,1571.574383771806,776,0.9849271166166983,9.253308957909749e-05,0,1,0,2,163.4425395342717,1571.574383771806,1.0,0.9992906751992237
2,1417,19.680984561078542,1528.529565520953,641,0.9726357072587478,8.678754325805534e-05,0.16494283748514343,1,0,2,91.56176204767512,1550.0519746463794,1.0,0.9971847899586324
3,2218,-1.4007474295116946,1394.0399232748719,801,0.9574960754645129,8.010666789558878e-05,0.062414825856732144,1,0,1,60.57425888861285,1498.0479575225436,1.0,0.9977559539036492
4,2675,5.699665420377308,1032.8793359113456,457,0.9489664013259616,7.652800942507038e-05,0.052504135051200114,1,1,3,46.85561052155396,1381.7558021197442,1.0,0.9990816189555249
5,3646,15.062432859055496,2250.23158624721,971,0.9310999188618153,6.944617240847894e-05,0.07621544572677229,1,1,2,40.496974989054266,1555.4509589452373,1.0,0.9982085698463241
6,4447,0.4565001457912174,1541.6799339102868,801,0.9166203888649634,6.410022983603063e-05,0.062200656437434804,1,0,1,33.823562515177095,1553.155788106079,1.0,0.9957323338944041
7,5496,46.97900399184678,2952.948687257509,1049,0.8980052487255903,5.771647747034065e-05,0.055594061108907994,1,2,3,35.70291129755848,1753.126202270569,1.0,0.9990699427395313
8,6417,-9.04436144122457,1930.5592224685704,921,0.8819804336848657,5.26379898132164e-05,0.057152475417469276,1,1,2,30.109502205210596,1775.305329795319,1.0,0.9965046828122491
9,7378,-24.22297956632004,1777.0997040906998,961,0.8655713660238408,4.781470812508461e-05,0.055906357433604274,1,1,2,24.07255978615164,1775.504704717028,1.0,0.9972355135813813
10,8019,-13.80176191768897,1393.9787910071834,641,0.8548003309661859,4.484580671252604e-05,0.06953385302596457,1,0,2,20.28512761576758,1737.3521133460436,1.0,0.9937369236770474
11,8640,-14.383208419271378,962.4562884915431,621,0.8444962317673739,4.214546063297588e-05,0.07091519404457651,1,0,2,17.13346070349131,1666.9070383592707,1.0,0.996647409167303
12,9408,5.242024773400265,2121.6519861987836,768,0.831928735107839,3.9029709682647645e-05,0.07440280295122648,1,1,3,16.142507709317055,1704.80245067923,1.0,0.9966846160294153
13,10229,15.812139221665438,1879.905462871363,821,0.8187057232980617,3.595323397058486e-05,0.08823421134882302,1,0,1,16.11709474872847,1718.2719131555482,1.0,0.9933483261260968
14,11050,11.477792819769869,1944.9811766459657,821,0.8056980604884626,3.311925821263052e-05,0.08702291105391773,1,0,1,15.78571603951714,1734.4654319762922,1.0,0.9973856014327485
15,11582,-14.764901163217747,1121.1476154566067,532,0.7973825500896727,3.140327767834773e-05,0.09021308778827183,1,0,3,13.74900822600148,1693.5775775416466,1.0,0.9920834595649909
16,12163,-12.737442801430207,960.4107853754649,581,0.7884016449695948,2.9630652025638664e-05,0.09562873751527778,1,0,2,12.093605036787,1647.7546530312602,1.0,0.9944098824798215
17,12575,4.404044856492753,1232.0261115242654,412,0.7820960302257585,2.8434616870457058e-05,0.09427581542144411,1,1,3,11.641277967357928,1623.3000329426134,1.0,0.9889540284235033
18,13022,-13.41544044901781,900.2469786502131,447,0.7753132558920636,2.7191517597898323e-05,0.10070571691522863,1,0,3,10.249238055337052,1583.1304188152578,1.0,0.9914106007260054
19,13713,2.2936715209797995,1466.5908593176239,691,0.7649466251094589,2.5375943436057264e-05,0.10307398254884738,1,1,3,9.830524027212988,1576.9967577890666,1.0,0.9897362565723352
20,14474,-6.364264842997608,1348.5182789658368,761,0.7536943842410954,2.3516394381282534e-05,0.1254020046036441,1,0,1,9.020784583702458,1565.5728338479053,1.0,0.9950318669893912
21,15418,34.65757726976029,2507.833023075217,944,0.7399721794887525,2.1397906515169508e-05,0.11954008136339234,1,3,3,10.241584235419497,1610.4423666682533,1.0,0.9948545470912489
22,15961,-1.2493171313394793,1312.3209598732765,543,0.7321955849583585,2.026692760904727e-05,0.12450782303967638,1,1,3,9.719270536930454,1596.891393632118,1.0,0.9839810584974104
23,16722,14.482593222896691,1640.7566040373326,761,0.7214380407300602,1.878176721792499e-05,0.1349017448777164,1,0,1,9.92637152327681,1598.798576693214,1.0,0.9920705056827687
