update,timesteps,episodes,mean_reward,mean_score,mean_stage,mean_length,policy_loss,value_loss,entropy,learning_rate,explained_var,mean_start_stage,start_stage_t1_frac,start_stage_t2_frac,start_stage_t3_frac,start_stage_t4_frac,eval_mean_reward,eval_mean_score,eval_mean_max_stage,eval_mean_length,eval_over_max_rate
1,4096,1,61069.55923662718,38997.03551877352,9.0,3610.0,-0.003744026442291215,29949.098049521446,1.006563254748471,5e-05,0.9362943,6.0,0.0,0.0,0.0,1.0,,,,,
2,8192,1,61069.55923662718,38997.03551877352,9.0,3610.0,-0.007600364381687541,4899.032913982868,0.9891509792068973,4.9991971840000005e-05,0.9798908,6.0,0.0,0.0,0.0,1.0,,,,,
3,12288,2,65160.73999930752,41287.05733841829,8.0,4576.0,-0.0076103254623376415,9285.06995293498,0.9243324026465416,4.998394368e-05,0.7273847,4.0,0.0,0.5,0.0,0.5,,,,,
4,16384,3,67468.59508802276,42559.42104269037,7.666666666666667,4914.0,-0.007299273102944426,6115.5415224432945,0.9723431327147409,4.997591552e-05,0.9695715,3.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,,,,,
5,20480,4,62009.322928394824,38646.45603671533,7.0,4732.75,-0.007755051604362961,4212.255726784468,0.9851724468171597,4.9967887360000005e-05,0.96448547,2.5,0.5,0.25,0.0,0.25,,,,,
6,24576,5,57813.51973640845,36201.18163486912,7.2,4338.4,-0.010770490137474553,4694.1724753677845,0.9827072838088498,4.99598592e-05,0.98323894,3.2,0.4,0.2,0.0,0.4,,,,,
7,28672,6,61000.004932353135,38235.73042894345,7.166666666666667,4638.333333333333,-0.0077894859459775034,10604.237540006638,0.9858570678625256,4.995183104e-05,0.93029416,2.8333333333333335,0.5,0.16666666666666666,0.0,0.3333333333333333,,,,,
8,32768,6,61000.004932353135,38235.73042894345,7.166666666666667,4638.333333333333,-0.00692532658285927,5882.382847845554,0.9675666614202783,4.9943802880000005e-05,0.96484673,2.8333333333333335,0.5,0.16666666666666666,0.0,0.3333333333333333,,,,,
9,36864,8,57252.134464079805,36192.24066310616,7.125,4432.5,-0.007563478079646302,9462.807166099548,1.0092600573552772,4.993577472e-05,0.95458806,3.0,0.5,0.125,0.0,0.375,,,,,
10,40960,11,46011.07319130356,29078.667896416704,6.7272727272727275,3582.5454545454545,-0.009321951813035412,4438.309932589531,0.9792876791907474,4.992774656e-05,0.9619984,3.5454545454545454,0.36363636363636365,0.18181818181818182,0.0,0.45454545454545453,,,,,
11,45056,12,46921.99206577057,29728.60918164228,6.75,3643.75,-0.007746575771307107,6730.081447064877,1.0299896721262485,4.9919718400000005e-05,0.9276543,3.5,0.3333333333333333,0.25,0.0,0.4166666666666667,,,,,
12,49152,13,45772.87624151686,29016.597120777875,6.615384615384615,3582.3846153846152,-0.007970653919983306,5649.858767032623,0.9782617931487039,4.991169024e-05,0.9642013,3.3846153846153846,0.3076923076923077,0.3076923076923077,0.0,0.38461538461538464,,,,,
13,53248,13,45772.87624151686,29016.597120777875,6.615384615384615,3582.3846153846152,-0.00584555885689042,126871.63198333979,0.9414168710354716,4.990366208e-05,0.94152635,3.3846153846153846,0.3076923076923077,0.3076923076923077,0.0,0.38461538461538464,,,,,
14,57344,14,51234.43421657868,32571.441671865294,6.928571428571429,3806.714285714286,-0.009796180831472157,3818.97249057889,0.8973801472457126,4.9895633920000005e-05,0.95885545,3.5,0.2857142857142857,0.2857142857142857,0.07142857142857142,0.35714285714285715,,,,,
15,61440,15,51472.845257287874,32712.174667380623,6.866666666666666,3862.2,-0.010663907813068363,6105.436008840799,0.9352106531150639,4.988760576e-05,0.9635634,3.3333333333333335,0.3333333333333333,0.26666666666666666,0.06666666666666667,0.3333333333333333,,,,,
16,65536,18,46383.137851309315,29484.27219926931,6.777777777777778,3548.9444444444443,-0.010379586497037963,3166.632572621107,1.0038877167971805,4.98795776e-05,0.9361668,3.5555555555555554,0.3333333333333333,0.2222222222222222,0.05555555555555555,0.3888888888888889,,,,,
17,69632,19,45534.820766156365,28946.73698073227,6.631578947368421,3538.8947368421054,-0.006064038330805488,13132.029318988323,0.9926110757514834,4.9871549440000005e-05,0.6949754,3.4210526315789473,0.3684210526315789,0.21052631578947367,0.05263157894736842,0.3684210526315789,,,,,
18,73728,19,45534.820766156365,28946.73698073227,6.631578947368421,3538.8947368421054,-0.0069887549561826745,18704.884409189224,0.9950109369819984,4.986352128e-05,0.9249934,3.4210526315789473,0.3684210526315789,0.21052631578947367,0.05263157894736842,0.3684210526315789,,,,,
19,77824,20,49883.38578947188,31699.231494754797,6.8,3795.95,-0.006527031643599912,66503.36280012131,0.9530122079886496,4.985549312e-05,0.93360037,3.3,0.4,0.2,0.05,0.35,,,,,
20,81920,21,49785.55362959577,31625.236740683806,6.809523809523809,3774.2380952380954,-0.011239697544624505,3441.0608210861683,0.9955726767657325,4.9847464960000005e-05,0.9678884,3.3333333333333335,0.38095238095238093,0.19047619047619047,0.09523809523809523,0.3333333333333333,,,,,
21,86016,23,47925.27671552653,30522.721085534933,6.782608695652174,3641.521739130435,-0.01042484162371693,6090.891546428204,0.984727893024683,4.98394368e-05,0.9041303,3.4347826086956523,0.34782608695652173,0.21739130434782608,0.08695652173913043,0.34782608695652173,,,,,
22,90112,24,48194.69981001072,30656.643870150292,6.75,3684.0833333333335,-0.01064548258727882,4972.829771161079,0.9298211055574939,4.983140864e-05,0.9525069,3.3333333333333335,0.375,0.20833333333333334,0.08333333333333333,0.3333333333333333,,,,,
23,94208,25,49990.36364100026,31838.76941119744,6.88,3742.88,-0.004723893317532202,61656.80833017826,0.9175010418985039,4.9823380480000005e-05,0.9654105,3.4,0.36,0.2,0.12,0.32,,,,,
24,98304,28,46711.37038700002,29740.110291813526,6.75,3509.0714285714284,-0.011910868095583282,5836.584839910269,0.9979071726556867,4.981535232e-05,0.96925575,3.5357142857142856,0.32142857142857145,0.21428571428571427,0.14285714285714285,0.32142857142857145,,,,,
25,102400,30,44357.220189157204,28249.666538300648,6.566666666666666,3373.4,-0.010820179378242756,3106.0417063832283,1.006506321602501,4.980732416e-05,0.92686963,3.5,0.3333333333333333,0.2,0.16666666666666666,0.3,39733.76868371877,25745.587458421745,7.233333333333333,2926.6,0.03333333333333333
26,106496,32,42442.261764238996,27035.407075442992,6.40625,3251.34375,-0.011194689501280664,4002.972812950611,0.9499590254854411,4.9799296000000005e-05,0.94002724,3.46875,0.34375,0.1875,0.1875,0.28125,,,,,
27,110592,34,42225.65443435584,26855.31201861915,6.323529411764706,3250.5,-0.008762480056248023,5456.41725987196,1.0239368986804038,4.979126784e-05,0.96593153,3.3823529411764706,0.35294117647058826,0.20588235294117646,0.17647058823529413,0.2647058823529412,,,,,
28,114688,34,42225.65443435584,26855.31201861915,6.323529411764706,3250.5,-0.00542702787242888,11198.545022249222,0.9647429287433624,4.978323968e-05,0.9572957,3.3823529411764706,0.35294117647058826,0.20588235294117646,0.17647058823529413,0.2647058823529412,,,,,
29,118784,35,43281.41432944716,27513.979898836213,6.371428571428571,3317.542857142857,-0.010324322721317003,7429.601147830486,0.9226835509762168,4.9775211520000005e-05,0.9641163,3.3714285714285714,0.34285714285714286,0.22857142857142856,0.17142857142857143,0.2571428571428571,,,,,
30,122880,36,43731.90325027047,27755.579845457476,6.388888888888889,3337.6944444444443,-0.0086873506061238,7623.171312600374,1.0216398655902594,4.976718336e-05,0.9713832,3.361111111111111,0.3333333333333333,0.25,0.16666666666666666,0.25,,,,,
31,126976,37,44994.30415121369,28546.804978417975,6.4324324324324325,3428.3783783783783,-0.009494451556747663,7302.377101123333,0.9742285271640867,4.97591552e-05,0.9718698,3.2972972972972974,0.35135135135135137,0.24324324324324326,0.16216216216216217,0.24324324324324326,,,,,
32,131072,37,44994.30415121369,28546.804978417975,6.4324324324324325,3428.3783783783783,-0.007755829665256897,3164.5846756994724,0.9834362097317353,4.9751127040000005e-05,0.9575281,3.2972972972972974,0.35135135135135137,0.24324324324324326,0.16216216216216217,0.24324324324324326,,,,,
33,135168,38,45764.78720727615,29020.916776575345,6.447368421052632,3498.184210526316,-0.006749702428351156,8143.416420996189,0.9759548776783049,4.974309888e-05,0.9532306,3.236842105263158,0.3684210526315789,0.23684210526315788,0.15789473684210525,0.23684210526315788,,,,,
34,139264,40,45096.17414341412,28555.652052675712,6.4,3469.925,-0.00734610371364397,11501.636254906654,1.0065468684770167,4.973507072e-05,0.87139744,3.225,0.375,0.225,0.175,0.225,,,,,
35,143360,40,45096.17414341412,28555.652052675712,6.4,3469.925,-0.007935064988487284,10644.761552095413,1.0413156327558681,4.9727042560000005e-05,0.94341844,3.225,0.375,0.225,0.175,0.225,,,,,
36,147456,41,46061.35792309258,29165.808077253037,6.439024390243903,3532.2195121951218,-0.011803172837971942,6060.6083871126175,1.0075043655233458,4.97190144e-05,0.9709156,3.1951219512195124,0.36585365853658536,0.24390243902439024,0.17073170731707318,0.21951219512195122,,,,,
37,151552,42,45954.31568749532,29070.36088907604,6.404761904761905,3541.595238095238,-0.00976785743569053,12699.737702846527,1.035211305716075,4.971098624e-05,0.9664702,3.142857142857143,0.38095238095238093,0.23809523809523808,0.16666666666666666,0.21428571428571427,,,,,
38,155648,44,45979.58834823692,29102.067487064676,6.5227272727272725,3515.6136363636365,-0.009794875688385218,44129.60182130337,1.0344090975122526,4.9702958080000005e-05,0.9478218,3.2954545454545454,0.36363636363636365,0.22727272727272727,0.18181818181818182,0.22727272727272727,,,,,
39,159744,46,44672.743111738106,28323.130528905596,6.478260869565218,3427.978260869565,-0.0076180558498890605,13640.417710125446,1.0474204217316583,4.969492992e-05,0.91776633,3.347826086956522,0.34782608695652173,0.2391304347826087,0.17391304347826086,0.2391304347826087,,,,,
40,163840,47,44903.69556591803,28476.779819671287,6.48936170212766,3441.574468085106,-0.008025968031688535,7484.156917661428,0.9724191958084702,4.968690176e-05,0.96535236,3.3404255319148937,0.3404255319148936,0.2553191489361702,0.1702127659574468,0.23404255319148937,,,,,
41,167936,48,44772.83271367348,28361.20005030496,6.458333333333333,3440.2291666666665,-0.0105376829396846,2629.6280222535133,0.987869962118566,4.9678873600000006e-05,0.9404687,3.3125,0.3333333333333333,0.2708333333333333,0.16666666666666666,0.22916666666666666,,,,,
42,172032,49,45052.763000918865,28520.693291527343,6.448979591836735,3475.6530612244896,-0.0077980590704100905,3187.266261816025,1.0278579463483766,4.967084544e-05,0.94231063,3.2653061224489797,0.3469387755102041,0.2653061224489796,0.16326530612244897,0.22448979591836735,,,,,
43,176128,49,45052.763000918865,28520.693291527343,6.448979591836735,3475.6530612244896,-0.006776693272513512,7043.243139505386,1.0068529775599018,4.966281728e-05,0.96995074,3.2653061224489797,0.3469387755102041,0.2653061224489796,0.16326530612244897,0.22448979591836735,,,,,
44,180224,50,46040.514747978144,29141.551003976296,6.48,3545.78,-0.009236702319867618,13052.197820544243,0.9164049649843946,4.9654789120000006e-05,0.9503535,3.22,0.36,0.26,0.16,0.22,,,,,
45,184320,51,45846.641615568995,29022.085134014706,6.450980392156863,3540.8823529411766,-0.009650520115428662,1898.3508241921663,0.9702131368685514,4.964676096e-05,0.9424959,3.196078431372549,0.35294117647058826,0.27450980392156865,0.1568627450980392,0.21568627450980393,,,,,
46,188416,52,46102.59847326318,29159.130308945936,6.4423076923076925,3571.980769230769,-0.008087314263320877,7379.429272711277,1.0024482070002705,4.9638732800000003e-05,0.93828887,3.1538461538461537,0.36538461538461536,0.2692307692307692,0.15384615384615385,0.21153846153846154,,,,,
47,192512,54,45335.21054097032,28670.361368597718,6.462962962962963,3519.462962962963,-0.008510774920978292,24154.40001475811,1.0206108649726957,4.9630704640000006e-05,0.953913,3.2222222222222223,0.35185185185185186,0.2777777777777778,0.14814814814814814,0.2222222222222222,,,,,
48,196608,55,45292.611204787354,28685.18067152634,6.509090909090909,3506.890909090909,-0.010653529525370686,6277.891120791435,1.0562269814545289,4.962267648e-05,0.9477892,3.290909090909091,0.34545454545454546,0.2727272727272727,0.14545454545454545,0.23636363636363636,,,,,
49,200704,57,44737.118179027006,28340.825890882406,6.43859649122807,3477.3684210526317,-0.01209135376393533,2145.1984963417053,1.0029026444535702,4.9614648320000003e-05,0.8997441,3.245614035087719,0.3333333333333333,0.2982456140350877,0.14035087719298245,0.22807017543859648,,,,,
50,204800,59,44250.432309244425,28002.947347348763,6.3559322033898304,3465.5254237288136,-0.011401764199945319,2199.883466988802,1.0075089868623763,4.9606620160000006e-05,0.9531431,3.169491525423729,0.3559322033898305,0.288135593220339,0.13559322033898305,0.22033898305084745,45820.953481324475,29443.7045282635,7.566666666666666,3221.9666666666667,0.1
51,208896,60,43603.481601774925,27590.518334915534,6.333333333333333,3419.0666666666666,-0.010943026849417947,3498.974615752697,1.0516113290796056,4.9598592e-05,0.97327346,3.2,0.35,0.2833333333333333,0.15,0.21666666666666667,,,,,
52,212992,61,44076.76576693001,27903.051361071382,6.360655737704918,3444.2131147540986,-0.01171522866752639,8849.343303143978,0.9432572923833504,4.9590563840000004e-05,0.960506,3.19672131147541,0.3442622950819672,0.29508196721311475,0.14754098360655737,0.21311475409836064,,,,,
53,217088,63,43658.85224132893,27615.644181523254,6.333333333333333,3423.4285714285716,-0.01188660387742857,3625.9147669672966,0.943685891572386,4.958253568e-05,0.97979176,3.1904761904761907,0.3492063492063492,0.2857142857142857,0.15873015873015872,0.20634920634920634,,,,,
54,221184,64,43444.04465138275,27482.449106582564,6.296875,3419.953125,-0.006651567739027087,15689.372525572777,0.9983070566086099,4.957450752e-05,0.95574105,3.15625,0.359375,0.28125,0.15625,0.203125,,,,,
55,225280,65,43421.5608464296,27477.808527595364,6.323076923076923,3412.507692307692,-0.008235581666667713,6510.19780933857,0.9922759383916855,4.9566479360000004e-05,0.9238361,3.2,0.35384615384615387,0.27692307692307694,0.15384615384615385,0.2153846153846154,,,,,
56,229376,67,43302.71123829282,27416.30207711389,6.3283582089552235,3397.5522388059703,-0.009683531512564514,6832.935229182243,1.0178655576892197,4.95584512e-05,0.96073914,3.2238805970149254,0.34328358208955223,0.2835820895522388,0.16417910447761194,0.208955223880597,,,,,
57,233472,69,42521.777898425,26928.47506516053,6.260869565217392,3354.6521739130435,-0.010882827667956008,3432.0463035702705,0.9960050014778972,4.955042304e-05,0.9006903,3.2028985507246377,0.34782608695652173,0.2753623188405797,0.17391304347826086,0.2028985507246377,,,,,
58,237568,70,42607.09027862623,26973.52677914696,6.257142857142857,3363.9714285714285,-0.008755344239034457,6548.747291922569,0.9633478907635435,4.9542394880000004e-05,0.94112444,3.1857142857142855,0.34285714285714286,0.2857142857142857,0.17142857142857143,0.2,,,,,
59,241664,71,42862.15878937759,27135.94037489002,6.267605633802817,3381.394366197183,-0.004355011662482866,8969.936274081469,0.9583667472470552,4.953436672e-05,0.8893123,3.183098591549296,0.3380281690140845,0.29577464788732394,0.16901408450704225,0.19718309859154928,,,,,
60,245760,71,42862.15878937759,27135.94037489002,6.267605633802817,3381.394366197183,-0.008267426979728043,7156.849673807621,0.944339036475867,4.952633856e-05,0.97643256,3.183098591549296,0.3380281690140845,0.29577464788732394,0.16901408450704225,0.19718309859154928,,,,,
61,249856,74,43076.12189772653,27309.47704533716,6.378378378378378,3370.2972972972975,-0.006357892201776849,82186.7243976593,1.051697468617931,4.9518310400000004e-05,0.9498863,3.310810810810811,0.32432432432432434,0.2972972972972973,0.16216216216216217,0.21621621621621623,,,,,
