timestep,episodes,mean_reward,mean_score,mean_stage,mean_length,q1_loss,q2_loss,policy_loss,alpha,entropy,eval_stage1_mean_stage,eval_stage1_mean_reward,eval_stage3_mean_stage,eval_stage3_mean_reward,eval_stage5_mean_stage,eval_stage5_mean_reward,eval_overall_mean_stage,eval_overall_mean_reward
1000,1,1513.2940666693605,1208.8124421153893,1.0,641.0,0,0,0,0.19999998807907104,0,,,,,,,,
2000,3,1633.5577676261403,1308.8322313862207,1.0,632.6666666666666,0,0,0,0.19999998807907104,0,,,,,,,,
3000,4,1629.3014072857593,1252.3919775814968,1.0,629.75,0,0,0,0.19999998807907104,0,,,,,,,,
4000,6,1750.1341763555108,1309.7925190168164,1.0,658.5,0,0,0,0.19999998807907104,0,,,,,,,,
5000,7,1804.3760064624482,1372.3285941559582,1.0,659.7142857142857,204.2118320465088,203.46524810791016,-0.6187310814857483,0.19988051056861877,0.7917510271072388,,,,,,,,
6000,7,1804.3760064624482,1372.3285941559582,1.0,659.7142857142857,484.63764051914217,485.94258654117584,-38.41915740966797,0.13834421336650848,0.6474611067771912,,,,,,,,
7000,8,2753.609114700712,1880.8895759752545,1.125,771.125,603.5969058036804,603.1522884511947,-78.4130776977539,0.1767261028289795,0.4167106121778488,,,,,,,,
8000,9,3600.5054503840697,2343.3583862123874,1.2222222222222223,855.5555555555555,541.710035700798,542.2061711025239,-119.75561561584473,0.2772964835166931,0.5133797129988671,,,,,,,,
9000,9,3600.5054503840697,2343.3583862123874,1.2222222222222223,855.5555555555555,502.0534609222412,508.2736766242981,-164.56766357421876,0.3613012433052063,0.5196647074818611,,,,,,,,
10000,11,4078.7961461100845,2584.682771996939,1.2727272727272727,882.9090909090909,606.9782360076904,611.1280570030212,-211.1580780029297,0.4249781370162964,0.5228146329522133,,,,,,,,
11000,12,4042.8393236884426,2580.627259864588,1.25,879.75,422.0045949935913,428.18491077423096,-252.03278686523439,0.46772587299346924,0.5470920684933662,,,,,,,,
12000,14,3737.81155803422,2415.725989682146,1.2142857142857142,845.6428571428571,402.3831085205078,405.87705615997316,-291.88828125,0.5453410744667053,0.5399304103851318,,,,,,,,
13000,15,3598.5758535881705,2339.8141809345343,1.2,826.6666666666666,191.49724254608154,191.02988830566406,-326.26907928466795,0.5512495040893555,0.5545792624354362,,,,,,,,
14000,16,3930.769843320588,2533.829863072158,1.25,873.75,250.03417098999023,252.84103103637696,-359.93980590820314,0.6009403467178345,0.5326691117882728,,,,,,,,
15000,17,3787.1230443206346,2454.3592407937936,1.2352941176470589,860.0588235294117,120.4177603149414,113.66674301147461,-387.02711975097657,0.609754204750061,0.5514255994558335,,,,,,,,
16000,18,3705.0317869480914,2415.087728431883,1.2222222222222223,848.8888888888889,143.88580318450929,146.82903121948243,-415.7268572998047,0.6388130187988281,0.5467195618152618,,,,,,,,
17000,20,3774.5646489590827,2442.4939802951185,1.25,849.05,275.475982170105,275.2994256210327,-441.73529296875,0.6569344401359558,0.5515126293897629,,,,,,,,
18000,21,3660.762426392984,2384.9712045146043,1.2380952380952381,826.6666666666666,260.4188138961792,259.36642501831057,-470.6047915649414,0.7290208339691162,0.5433345201611519,,,,,,,,
19000,22,3675.3171937800853,2389.209971438797,1.2272727272727273,824.2727272727273,286.2394355392456,290.9382526397705,-500.12858306884766,0.7430038452148438,0.5475461807847023,,,,,,,,
20000,23,3884.4576370683853,2508.2495408077743,1.2608695652173914,845.4347826086956,238.8254647064209,243.68307571411134,-523.4596231079101,0.7220542430877686,0.5493239378929138,,,,,,,,
21000,25,3723.4781736259088,2421.642440911359,1.24,817.68,269.06283500671384,286.302986869812,-537.8243594360351,0.7273802757263184,0.5303626850247383,,,,,,,,
22000,27,3675.819309740752,2402.259401975245,1.2222222222222223,810.2962962962963,249.71516487121582,241.34381843566894,-553.6156060791016,0.7483869791030884,0.5558271181583404,,,,,,,,
23000,28,3625.5892712418927,2368.2828361167626,1.2142857142857142,804.5357142857143,278.9438573455811,284.33037841796875,-568.3607678222656,0.7707840800285339,0.5445982733368874,,,,,,,,
24000,29,3735.4362182515224,2426.7620204390355,1.2413793103448276,811.6551724137931,320.7539348602295,323.98583045959475,-576.9678088378906,0.766931414604187,0.5444379225373268,,,,,,,,
25000,30,3656.6272578972903,2383.0424008167934,1.2333333333333334,805.0333333333333,206.72762725830077,205.35149978637696,-585.6395251464844,0.7371125221252441,0.537101323902607,,,,,,,,
26000,31,3872.3792797579144,2502.702935362653,1.2580645161290323,832.9677419354839,273.92149887084963,277.28447471618654,-590.7201623535157,0.7047199010848999,0.5586910352110863,,,,,,,,
27000,32,3797.211647471399,2461.215379487894,1.25,824.75,227.96180015563965,236.581395111084,-595.71498046875,0.7851516008377075,0.5542521518468857,,,,,,,,
28000,34,3714.7827815169567,2417.946362668799,1.2352941176470589,813.9411764705883,233.17656951904297,224.93019180297853,-600.1807092285156,0.8049779534339905,0.5449232906103134,,,,,,,,
29000,36,3647.6409603945485,2380.764843288009,1.2222222222222223,801.4166666666666,252.91788513183593,241.07864143371583,-611.434691772461,0.8199723362922668,0.5411379536986352,,,,,,,,
30000,37,3662.228475568839,2388.282935995026,1.2162162162162162,805.027027027027,186.42941871643066,184.71919715881347,-613.2468719482422,0.8048156499862671,0.5485950809717178,,,,,,,,
31000,38,3665.679692820832,2387.221941923148,1.2105263157894737,803.8684210526316,211.68746109008788,209.65239669799806,-626.9339025878907,0.8571605682373047,0.5347898694872856,,,,,,,,
32000,38,3665.679692820832,2387.221941923148,1.2105263157894737,803.8684210526316,240.28373779296874,232.80328300476074,-631.9480902099609,0.8302561044692993,0.5663581240177155,,,,,,,,
33000,39,3784.909644322279,2449.9490325122865,1.2307692307692308,820.6666666666666,254.57089973449706,253.7136260986328,-637.2852105712891,0.8169844746589661,0.5615627852082252,,,,,,,,
34000,39,3784.909644322279,2449.9490325122865,1.2307692307692308,820.6666666666666,739.5154779815674,731.0592166137695,-640.138461303711,0.8298033475875854,0.5300407239794731,,,,,,,,
35000,40,4144.551166005816,2653.638042140701,1.275,861.775,223.16446617126465,226.1235386657715,-644.8188079833984,0.8061802387237549,0.5454623186588288,,,,,,,,
36000,41,4204.507417776342,2680.7301167476653,1.2926829268292683,866.0,802.8977713012696,762.0709999847412,-648.2021960449218,0.8230278491973877,0.5427887439727783,,,,,,,,
37000,42,4276.468998674293,2721.0584976020336,1.3095238095238095,875.3333333333334,394.48057826995847,384.71025413513183,-660.9354351806641,0.8177011609077454,0.5575899851322174,,,,,,,,
38000,42,4276.468998674293,2721.0584976020336,1.3095238095238095,875.3333333333334,310.35920204162596,317.60529083251953,-662.3990625,0.8235381841659546,0.5564497673511505,,,,,,,,
39000,43,4405.653862281579,2796.869790074571,1.3255813953488371,892.5581395348837,175.65341491699218,172.63311477661134,-662.6315856933594,0.8144095540046692,0.5516897997260094,,,,,,,,
40000,44,4381.166000553083,2780.7720377199353,1.3181818181818181,889.5681818181819,390.1154480743408,368.5386911010742,-669.2065307617188,0.8549312353134155,0.5527614957094192,,,,,,,,
41000,45,4439.470578389794,2816.1989009431927,1.3333333333333333,892.6888888888889,379.32734970092775,390.27935470581053,-674.9735778808594,0.8538435697555542,0.5388566988706589,,,,,,,,
42000,46,4531.696860444413,2870.172337653681,1.3478260869565217,906.1086956521739,337.3625831604004,344.3095715332031,-681.3290625,0.8660223484039307,0.5484124040603637,,,,,,,,
43000,47,4458.6333109292855,2829.4244653154615,1.3404255319148937,898.8936170212766,417.00394622802736,411.0816848754883,-682.0756286621094,0.8745314478874207,0.5343631654977798,,,,,,,,
44000,48,4439.914258029763,2817.8878497067585,1.3333333333333333,901.0208333333334,290.1034279632568,282.36865043640137,-681.9707208251953,0.8950609564781189,0.5409284871816635,,,,,,,,
45000,49,4486.1823520435055,2843.9902076030367,1.346938775510204,905.1428571428571,406.9855401611328,391.22697158813475,-684.6485168457032,0.8827366232872009,0.54451775431633,,,,,,,,
46000,50,4470.654786046146,2838.4377394645517,1.34,904.18,411.6567510223389,436.05178176879883,-687.0944177246093,0.8827261924743652,0.5346588230133057,,,,,,,,
